Task,Description,Status,Assigned To,Priority,Estimate,Actual Time,Comments
1,Acme rocket testing,In progress,Wile E Coyote,High,3 days,2 days,"Rocket failed to launch due to defective ignition system"
2,Create giant slingshot,Completed,Roadrunner,Medium,1 day,1 day,"Successfully launched Roadrunner across the canyon"
3,Design spring-loaded boxing gloves,Planned,Wile E Coyote,Low,2 days,,
4,Paint fake tunnel on cliff,Completed,Wile E Coyote,High,1 day,1 day,"Roadrunner successfully tricked and ran into the tunnel"
5,Construct giant magnet,In progress,Roadrunner,High,4 days,3 days,"Magnet successfully attracted all metallic objects except for Roadrunner"
6,Acquire rocket-powered roller skates,Planned,Wile E Coyote,Low,1 day,,
7,Create fake cactus costume,Completed,Roadrunner,Medium,2 days,2 days,"Roadrunner successfully disguised and fooled Wile E Coyote"
8,Test jet-powered pogo stick,Completed,Wile E Coyote,High,2 days,2 days,"Pogo stick malfunctioned and sent Wile E Coyote flying into a cliff"
9,Create giant sling,Planned,Roadrunner,Low,1 day,,
10,Acquire nitroglycerin,In progress,Wile E Coyote,High,3 days,2 days,"Acme shipment delayed, searching for alternative sources"
11,Create anvil,Planned,Wile E Coyote,Low,1 day,,
12,Create fake bird seed,In progress,Wile E Coyote,Medium,2 days,1 day,"Roadrunner caught onto the trick and avoided the trap"
13,Create bird decoy,Completed,Wile E Coyote,Low,1 day,1 day,"Roadrunner fell for the decoy and was captured"
14,Create booby-trapped balloon,Completed,Wile E Coyote,Medium,2 days,2 days,"Balloon successfully trapped Roadrunner but popped before he could be caught"
15,Create dynamite-powered unicycle,In progress,Wile E Coyote,High,4 days,3 days,"Prototype exploded during testing, redesigning"
16,Create giant rubber band,Planned,Roadrunner,Low,1 day,,
17,Create fake road,Completed,Wile E Coyote,Medium,2 days,2 days,"Roadrunner successfully fell for the trap and ran into the painted wall"
18,Create giant scissors,Planned,Wile E Coyote,Low,1 day,,
19,Create fake bat suit,In progress,Roadrunner,High,3 days,2 days,"Suit design is proving difficult to create, considering alternative options"
